wine_id,wine_name,winery,year,wine_type,rating,num_reviews,price,country,region,style,style_body,style_acidity,intensity,sweetness,tannin
77137,Unico (Gran Reserva) 2025,Vega Sicilia,2025,Red,4.7,55779,615.65,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
77136,Unico Reserva Especial Edición 2025,Vega Sicilia,2025,Red,4.7,15151,502.47,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
1876294,Pingus 2023,Dominio de Pingus,2023,Red,4.6,7031,1450.0,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
84140,El Nido 2023,Bodegas El Nido,2023,Red,4.7,6556,143.9,España,Jumilla,Tinto (España),4,3,4.0,1.0,3.0
77172,Toro 2015,Pintia,2015,Red,4.5,6288,135.0,España,Toro,Toro Tinto (España),5,3,4.5,1.0,3.5
1100735,La Nieta 2023,Viñedos de Páganos,2023,Red,4.5,5773,121.0,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
7972,Rioja Gran Reserva 904 2015,La Rioja Alta,2015,Red,4.5,5654,71.1,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
77171,Ribera del Duero 2017,Alión,2017,Red,4.6,5010,120.69,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
1175427,Valbuena 5º (Reserva) 2016,Vega Sicilia,2016,Red,4.7,4809,254.0,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
2839955,Bruto 2023,Juan Gil,2023,Red,4.5,4573,37.4,España,Jumilla,Monastrell (España),5,3,3.5,1.0,4.5
99584,Trasnocho 2019,Remírez de Ganuza,2019,Red,4.5,4336,88.91,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
18717,Cirsion Rioja 2021,Bodegas Roda,2021,Red,4.6,4306,213.0,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
1428373,Pago De Valtarreña 2022,Carmelo Rodero,2022,Red,4.5,4061,53.9,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
79814,Flor de Pingus 2016,Dominio de Pingus,2016,Red,4.5,3907,249.68,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
49754,Viña El Pison 2022,Artadi,2022,Red,4.6,3681,349.0,España,Vino de España,Tempranillo (España),4,2,4.5,1.0,4.0
1379762,Alabaster 2023,Teso La Monja,2023,Red,4.6,3611,179.0,España,Toro,Toro Tinto (España),5,3,4.5,1.0,3.5
3293391,Finca el Bosque 2023,Sierra Cantabria,2023,Red,4.5,3236,109.5,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
67064,L'Ermita Velles Vinyes Priorat 2022,Álvaro Palacios,2022,Red,4.6,2874,1449.0,España,Priorato,Priorat Tinto (España),4,3,5.0,1.0,3.5
98838,Contador Rioja 2023,Bodega Contador (Benjamín Romeo),2023,Red,4.6,2860,435.0,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
1221009,Amancio 2022,Sierra Cantabria,2022,Red,4.5,2739,96.7,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
11001,Castillo Ygay Gran Reserva Especial Tinto 2011,Marqués de Murrieta,2011,Red,4.6,2672,477.5,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
100292,Reserva Especial 2020,Hacienda Monasterio,2020,Red,4.5,2581,96.9,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
1994112,Macán 2014,Benjamin de Rothschild - Vega Sicilia,2014,Red,4.5,2372,116.0,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
1219218,Clio 2020,Bodegas El Nido,2020,Red,4.5,2020,97.9,España,Jumilla,Monastrell (España),5,3,3.5,1.0,4.5
1164373,Priorat 2023,Clos Erasmus,2023,Red,4.5,1963,255.0,España,Priorato,Priorat Tinto (España),4,3,5.0,1.0,3.5
7971,Gran Reserva 890 2010,La Rioja Alta,2010,Red,4.5,1771,187.0,España,Rioja,Rioja Tinto (España),4,3,4.0,1.0,4.5
73592,Petit Verdot 2021,Abadía Retuerta,2021,Red,4.5,1760,139.0,España,Abadía Retuerta,Tinto (España),4,3,4.0,1.0,3.0
736577,Pesus Ribera del Duero 2019,Viña Sastre,2019,Red,4.5,1757,380.9,España,Ribera del Duero,Ribera del Duero Tinto (España),5,3,4.0,1.0,4.0
